model,bin,mean_predicted_probability,observed_positive_rate
logistic_regression,1,0.12912719292317837,0.06172839506172839
logistic_regression,2,0.19070670380341653,0.0625
logistic_regression,3,0.2354004795077538,0.04938271604938271
logistic_regression,4,0.2802304820721194,0.0375
logistic_regression,5,0.3410329171193722,0.12345679012345678
logistic_regression,6,0.4082144467352822,0.2125
logistic_regression,7,0.49735580376007993,0.125
logistic_regression,8,0.5883182222498855,0.19753086419753085
logistic_regression,9,0.6966882232804101,0.2625
logistic_regression,10,0.849143903789174,0.3950617283950617
svm_calibrated,1,0.0418131216043395,0.06172839506172839
svm_calibrated,2,0.05809746349131042,0.075
svm_calibrated,3,0.0700642935305706,0.037037037037037035
svm_calibrated,4,0.08323229424421313,0.0375
svm_calibrated,5,0.10189489409839177,0.16049382716049382
svm_calibrated,6,0.12451353786195467,0.1875
svm_calibrated,7,0.1607972968470553,0.1375
svm_calibrated,8,0.2054245630589837,0.1728395061728395
svm_calibrated,9,0.270114901785772,0.275
svm_calibrated,10,0.42684492899417625,0.38271604938271603
weighted_soft_voting,1,0.05419626767175597,0.06172839506172839
weighted_soft_voting,2,0.09089096263965134,0.0375
weighted_soft_voting,3,0.12010292351828318,0.04938271604938271
weighted_soft_voting,4,0.1557377595122374,0.1
weighted_soft_voting,5,0.1988867082934636,0.12345679012345678
weighted_soft_voting,6,0.24598197798839397,0.1125
weighted_soft_voting,7,0.2988151797323067,0.175
weighted_soft_voting,8,0.37334585730005926,0.2222222222222222
weighted_soft_voting,9,0.4852312307793191,0.275
weighted_soft_voting,10,0.6932832411265191,0.37037037037037035
