threshold,accuracy,balanced_accuracy,precision,recall,f1,f2,roc_auc,pr_auc,true_negatives,false_positives,false_negatives,true_positives
0.21,0.4857142857142857,0.6431704932885106,0.21188118811881188,0.8699186991869918,0.34076433121019106,0.5366098294884654,0.7200724793171684,0.33436915971887254,284,398,16,107
0.25,0.5503105590062112,0.65463843787998,0.22654462242562928,0.8048780487804879,0.3535714285714286,0.5328310010764262,0.7200724793171684,0.33436915971887254,344,338,24,99
0.27,0.5850931677018634,0.6618386858355387,0.23690773067331672,0.7723577235772358,0.36259541984732824,0.5319148936170213,0.7200724793171684,0.33436915971887254,376,306,28,95
0.24,0.5366459627329192,0.6499058245714422,0.2222222222222222,0.8130081300813008,0.34904013961605584,0.5307855626326964,0.7200724793171684,0.33436915971887254,332,350,23,100
0.26,0.5714285714285714,0.6571060725270009,0.2318840579710145,0.7804878048780488,0.3575418994413408,0.5298013245033113,0.7200724793171684,0.33436915971887254,364,318,27,96
0.28,0.5987577639751552,0.6632393963235821,0.24093264248704663,0.7560975609756098,0.3654223968565815,0.5296127562642369,0.7200724793171684,0.33436915971887254,389,293,30,93
0.22,0.5031055900621118,0.640106811625301,0.21325051759834368,0.8373983739837398,0.33993399339933994,0.5282051282051282,0.7200724793171684,0.33436915971887254,302,380,20,103
0.23,0.5204968944099378,0.6437069356030803,0.2172043010752688,0.8211382113821138,0.3435374149659864,0.5276907001044933,0.7200724793171684,0.33436915971887254,318,364,22,101
0.2,0.45962732919254656,0.627774598860358,0.20342205323193915,0.8699186991869918,0.32973805855161786,0.5255402750491159,0.7200724793171684,0.33436915971887254,263,419,16,107
0.18,0.4124223602484472,0.6132429726056792,0.19405594405594406,0.9024390243902439,0.3194244604316547,0.5216165413533834,0.7200724793171684,0.33436915971887254,221,461,12,111
0.19,0.4372670807453416,0.6179100207424362,0.1978021978021978,0.8780487804878049,0.32286995515695066,0.5202312138728323,0.7200724793171684,0.33436915971887254,244,438,15,108
0.29,0.6049689440993788,0.6535774741911642,0.2386058981233244,0.7235772357723578,0.3588709677419355,0.5144508670520231,0.7200724793171684,0.33436915971887254,398,284,34,89
0.16,0.36024844720496896,0.5924468922108577,0.18387096774193548,0.926829268292683,0.30686406460296095,0.512589928057554,0.7200724793171684,0.33436915971887254,176,506,9,114
0.31,0.6298136645962733,0.6582445223279212,0.2478386167146974,0.6991869918699187,0.3659574468085106,0.5125148986889154,0.7200724793171684,0.33436915971887254,421,261,37,86
0.17,0.38881987577639754,0.5993133538373507,0.18781725888324874,0.9024390243902439,0.31092436974789917,0.5124653739612188,0.7200724793171684,0.33436915971887254,202,480,12,111
0.15,0.337888198757764,0.5825823140929356,0.1796875,0.9349593495934959,0.30144167758846657,0.5079505300353356,0.7200724793171684,0.33436915971887254,157,525,8,115
0.3,0.6173913043478261,0.650913144028801,0.24089635854341737,0.6991869918699187,0.35833333333333334,0.5064782096584217,0.7200724793171684,0.33436915971887254,411,271,37,86
0.37,0.7031055900621118,0.6715125289082803,0.2851851851851852,0.6260162601626016,0.39185750636132316,0.505249343832021,0.7200724793171684,0.33436915971887254,489,193,46,77
0.14,0.31925465838509315,0.5749171494647498,0.1765601217656012,0.943089430894309,0.29743589743589743,0.504786771105309,0.7200724793171684,0.33436915971887254,141,541,7,116
0.38,0.7192546583850932,0.6743795150561476,0.2964426877470356,0.6097560975609756,0.39893617021276595,0.5033557046979866,0.7200724793171684,0.33436915971887254,504,178,48,75
0.33,0.6521739130434783,0.6547814891638652,0.25391849529780564,0.6585365853658537,0.3665158371040724,0.499383477188656,0.7200724793171684,0.33436915971887254,444,238,42,81
0.36,0.6906832298136646,0.66418115060916,0.275,0.6260162601626016,0.38213399503722084,0.49870466321243523,0.7200724793171684,0.33436915971887254,479,203,46,77
0.32,0.6385093167701863,0.6500488758553274,0.2469879518072289,0.6666666666666666,0.36043956043956044,0.4975728155339806,0.7200724793171684,0.33436915971887254,432,250,41,82
0.13,0.2919254658385093,0.5587881172066853,0.17083946980854198,0.943089430894309,0.2892768079800499,0.49530315969257044,0.7200724793171684,0.33436915971887254,119,563,7,116
0.11,0.24596273291925466,0.5449896287819183,0.16574585635359115,0.975609756097561,0.2833530106257379,0.4934210526315789,0.7200724793171684,0.33436915971887254,78,604,3,120
0.35,0.6770186335403726,0.6561166344801277,0.2646048109965636,0.6260162601626016,0.3719806763285024,0.49169859514687103,0.7200724793171684,0.33436915971887254,468,214,46,77
0.39,0.7254658385093168,0.6680494957442242,0.2975206611570248,0.5853658536585366,0.39452054794520547,0.4904632152588556,0.7200724793171684,0.33436915971887254,512,170,51,72
0.12,0.26335403726708073,0.5452578499392031,0.16619318181818182,0.9512195121951219,0.282950423216445,0.4891304347826087,0.7200724793171684,0.33436915971887254,95,587,6,117
0.1,0.2186335403726708,0.5321924993443483,0.16176470588235295,0.983739837398374,0.27784156142365096,0.4879032258064516,0.7200724793171684,0.33436915971887254,55,627,2,121
0.09,0.20745341614906831,0.5289261616956346,0.16073781291172595,0.991869918699187,0.2766439909297052,0.4876099120703437,0.7200724793171684,0.33436915971887254,45,637,1,122
0.34,0.662111801242236,0.6473189805211834,0.25412541254125415,0.6260162601626016,0.3615023474178404,0.48427672955974843,0.7200724793171684,0.33436915971887254,456,226,46,77
0.08,0.19627329192546583,0.5223279212264264,0.15885416666666666,0.991869918699187,0.2738496071829405,0.48412698412698413,0.7200724793171684,0.33436915971887254,36,646,1,122
0.07,0.18385093167701863,0.5183284457478006,0.1576923076923077,1.0,0.2724252491694352,0.4834905660377358,0.7200724793171684,0.33436915971887254,25,657,0,123
