feature,coefficient,abs_coefficient
node_positive_band_high,-1.0984134947641668,1.0984134947641668
node_positive_band_low,0.970485981976941,0.970485981976941
node_positive_ratio,0.867749988930881,0.867749988930881
marital_status_Separated,0.5899670212189518,0.5899670212189518
n_stage_ord,0.5649899757467433,0.5649899757467433
race_Black,0.5062485615021126,0.5062485615021126
grade,0.44077951892911343,0.44077951892911343
tumor_grade_burden,0.43332797629091535,0.43332797629091535
node_density_per_grade,-0.4328245893666403,0.4328245893666403
race_Other,-0.38717780321749745,0.38717780321749745
marital_status_Married,-0.38298360000230763,0.38298360000230763
marital_status_Single,-0.32169992807515485,0.32169992807515485
tumor_node_burden,-0.25951698148619023,0.25951698148619023
n_stage_N1,-0.2465614738892606,0.2465614738892606
age,0.2358941144443524,0.2358941144443524
t_stage_ord,0.22966240587244685,0.22966240587244685
receptor_profile_ER_Negative__PR_Negative,0.22767700732731108,0.22767700732731108
differentiate_Undifferentiated,0.20839613957392572,0.20839613957392572
regional_node_positive,0.19988447585786076,0.19988447585786076
marital_status_Widowed,0.19262320106794822,0.19262320106794822
progesterone_status_Positive,-0.17650378679651588,0.17650378679651588
progesterone_status_Negative,0.16392490354820846,0.16392490354820846
differentiate_Poorly differentiated,-0.15491772092471334,0.15491772092471334
6th_stage_IIIC,0.1478555581950398,0.1478555581950398
n_stage_N3,0.1478555581950398,0.1478555581950398
race_White,-0.13164964153292183,0.13164964153292183
tumor_size,-0.12931550609002002,0.12931550609002002
receptor_profile_ER_Negative__PR_Positive,-0.12481347945520449,0.12481347945520449
6th_stage_IIIB,-0.12460624786731105,0.12460624786731105
6th_stage_IIB,0.12400071085178596,0.12400071085178596
estrogen_status_Positive,-0.11544241112041506,0.11544241112041506
node_positive_band_moderate,0.11534862953891703,0.11534862953891703
t_stage_T4,0.1127974011987316,0.1127974011987316
hormone_receptor_negative,0.10772475193214653,0.10772475193214653
estrogen_status_Negative,0.10286352787210686,0.10286352787210686
t_stage_T3,-0.09247293065673887,0.09247293065673887
marital_status_Divorced,-0.09048557745774227,0.09048557745774227
6th_stage_IIIA,-0.08898531822603752,0.08898531822603752
n_stage_N2,0.08612703244591396,0.08612703244591396
advanced_stage_flag,0.0736332118947632,0.0736332118947632
6th_stage_IIA,-0.07084358620178591,0.07084358620178591
tumor_size_band_medium,-0.06623333161882669,0.06623333161882669
tumor_size_band_large,0.06375519417392471,0.06375519417392471
receptor_profile_ER_Positive__PR_Negative,-0.06375210377910348,0.06375210377910348
stage_ord,-0.0613134617909449,0.0613134617909449
receptor_profile_ER_Positive__PR_Positive,-0.05169030734131136,0.05169030734131136
large_tumor_flag,-0.05100648836236152,0.05100648836236152
t_stage_T1,-0.04686847636265498,0.04686847636265498
differentiate_Moderately differentiated,-0.046206322638406495,0.046206322638406495
triple_clinical_risk_flag,0.027892512860415032,0.027892512860415032
regional_node_examined,-0.025344227802323194,0.025344227802323194
differentiate_Well differentiated,-0.019850979259114252,0.019850979259114252
t_stage_T2,0.013965122572355534,0.013965122572355534
high_node_burden_flag,0.013758867603229245,0.013758867603229245
tumor_size_band_small,-0.010100745803405439,0.010100745803405439
a_stage_Regional,-0.007684606174833464,0.007684606174833464
tumor_node_stage_burden,0.006786334019754115,0.006786334019754115
a_stage_Distant,-0.004894277073472486,0.004894277073472486
