feature,importance_mean,importance_std
node_positive_ratio,0.13987906221577345,0.012458460492653879
n_stage_ord,0.1165829528870396,0.0178409281295837
tumor_grade_burden,0.05904137270889901,0.013682568985098596
regional_node_positive,0.03589615060487165,0.007060715065805715
grade,0.03445419972075161,0.013559497192398035
t_stage_ord,0.017475042347861222,0.007205219655202159
n_stage,0.015832867698388178,0.007123939732435825
race,0.012350690873256779,0.010063129837124825
progesterone_status,0.009911472224639218,0.004466211314342771
age,0.008905451916139312,0.008781408122408126
hormone_receptor_negative,0.008244901166529664,0.003941067791780525
node_positive_band,0.0073249110764511075,0.011231414341451184
receptor_profile,0.004584155504340342,0.002787377653228214
estrogen_status,0.004113807197336478,0.0028082475904218375
advanced_stage_flag,0.00382333818838925,0.00381938453304495
node_density_per_grade,0.0037887008839072285,0.00472439200802013
tumor_node_burden,0.003145488211164754,0.006329757671053674
tumor_size_band,0.0017097194637501118,0.0028946078547854677
differentiate,0.0014960120624999268,0.002862732743906371
triple_clinical_risk_flag,0.0008904028947132519,0.0012024516616450764
high_node_burden_flag,0.0008045431267854397,0.000568787887522861
tumor_node_stage_burden,0.0003776248700036289,0.0005310614763596934
a_stage,7.0250273750654955e-06,4.549239915532955e-05
regional_node_examined,-1.8599249383591254e-05,0.0010240198542279273
marital_status,-0.0006206154861014667,0.008861689792438027
tumor_size,-0.0006322037011046444,0.004044980166537671
6th_stage,-0.000840145568516587,0.004276477937462632
t_stage,-0.0013620332352803216,0.002130488205536666
large_tumor_flag,-0.0016501844655384206,0.00247958258573379
stage_ord,-0.0016541287139715394,0.0020839261814466644
