feature,coefficient,abs_coefficient
node_positive_band_high,-1.0984134947641668,1.0984134947641668
node_positive_band_low,0.970485981976941,0.970485981976941
node_positive_ratio,0.867749988930881,0.867749988930881
marital_status_Separated,0.5899670212189518,0.5899670212189518
n_stage_ord,0.5649899757467433,0.5649899757467433
race_Black,0.5062485615021126,0.5062485615021126
grade,0.44077951892911343,0.44077951892911343
tumor_grade_burden,0.43332797629091535,0.43332797629091535
node_density_per_grade,-0.4328245893666403,0.4328245893666403
race_Other,-0.38717780321749745,0.38717780321749745
marital_status_Married,-0.38298360000230763,0.38298360000230763
marital_status_Single,-0.32169992807515485,0.32169992807515485
tumor_node_burden,-0.25951698148619023,0.25951698148619023
n_stage_N1,-0.2465614738892606,0.2465614738892606
age,0.2358941144443524,0.2358941144443524
t_stage_ord,0.22966240587244685,0.22966240587244685
receptor_profile_ER_Negative__PR_Negative,0.22767700732731108,0.22767700732731108
differentiate_Undifferentiated,0.20839613957392572,0.20839613957392572
regional_node_positive,0.19988447585786076,0.19988447585786076
marital_status_Widowed,0.19262320106794822,0.19262320106794822
