seed,model,threshold,accuracy,balanced_accuracy,precision,recall,f1,f2,roc_auc,pr_auc,brier_score,clinical_utility,true_negatives,false_positives,false_negatives,true_positives,threshold_selected_on,selected_threshold
7,logistic_regression,0.5,0.7192546583850932,0.7243580573635648,0.31802120141342755,0.7317073170731707,0.4433497536945813,0.5806451612903226,0.7862336981141074,0.4311339489616632,0.19250155546064449,-7.0,489,193,33,90,,
7,weighted_soft_voting,0.17,0.4434782608695652,0.6315714183534797,0.20292504570383912,0.9024390243902439,0.33134328358208953,0.534167468719923,0.7575280738144625,0.3891385767613512,0.1312695690022174,23.0,246,436,12,111,validation,0.17
21,logistic_regression,0.5,0.7006211180124223,0.6633824476074672,0.2798507462686567,0.6097560975609756,0.3836317135549872,0.4934210526315789,0.7060474930262498,0.34569360670400384,0.2060698577014377,-202.0,489,193,48,75,,
21,weighted_soft_voting,0.21,0.5167701863354037,0.5915289798059271,0.1963470319634703,0.6991869918699187,0.3065953654188948,0.46236559139784944,0.6656951100302793,0.3285268832757584,0.14373670182756354,-218.0,330,352,37,86,validation,0.21
42,logistic_regression,0.5,0.6807453416149069,0.6516522423288749,0.2640845070422535,0.6097560975609756,0.36855036855036855,0.4832474226804124,0.7154471544715447,0.35246510726624997,0.20550244385053074,-218.0,473,209,48,75,,
42,weighted_soft_voting,0.22,0.5664596273291925,0.6475097155663638,0.22705314009661837,0.7642276422764228,0.3500931098696462,0.5187637969094923,0.7139927997520444,0.319623677878879,0.14136732234443838,-82.0,362,320,29,94,validation,0.22
84,logistic_regression,0.5,0.7204968944099379,0.6784445557065542,0.2992125984251969,0.6178861788617886,0.40318302387267907,0.5093833780160858,0.7329232529861955,0.384502483800517,0.19248150654352753,-174.0,504,178,47,76,,
84,weighted_soft_voting,0.2,0.5093167701863354,0.6404405979543666,0.21428571428571427,0.8292682926829268,0.34056761268781305,0.5268595041322314,0.7214195455737548,0.35991697778581244,0.135184779790913,-32.0,308,374,21,102,validation,0.2
126,logistic_regression,0.5,0.6819875776397516,0.6157344491333476,0.24521072796934865,0.5203252032520326,0.3333333333333333,0.4249667994687915,0.6918913763917698,0.37621624184077,0.20149778255178252,-349.0,485,197,59,64,,
126,weighted_soft_voting,0.26,0.6049689440993788,0.6302541544477028,0.22841225626740946,0.6666666666666666,0.34024896265560167,0.481786133960047,0.6703144744057412,0.31375781160206334,0.14060388580404393,-195.0,405,277,41,82,validation,0.26
