model,bin,mean_predicted_probability,observed_positive_rate
logistic_regression,1,0.131177933991414,0.21052631578947367
logistic_regression,2,0.22346573376099635,0.3157894736842105
logistic_regression,3,0.29484137038763,0.43243243243243246
logistic_regression,4,0.3744102283021169,0.5
logistic_regression,5,0.43485747574158984,0.7027027027027027
logistic_regression,6,0.5332347834552795,0.6578947368421053
logistic_regression,7,0.6342282235688255,0.7027027027027027
logistic_regression,8,0.7166408634860765,0.7105263157894737
logistic_regression,9,0.7995128438235961,0.7567567567567568
logistic_regression,10,0.905619803468074,0.7368421052631579
svm_calibrated,1,0.25746827552184504,0.15789473684210525
svm_calibrated,2,0.35171415216144375,0.39473684210526316
svm_calibrated,3,0.4129419838272647,0.43243243243243246
svm_calibrated,4,0.477569385138477,0.5526315789473685
svm_calibrated,5,0.5258976134812198,0.5675675675675675
svm_calibrated,6,0.587072373123876,0.6842105263157895
svm_calibrated,7,0.6597356831525616,0.7297297297297297
svm_calibrated,8,0.7124605843126272,0.7368421052631579
svm_calibrated,9,0.7734453376318473,0.7027027027027027
svm_calibrated,10,0.860768055396128,0.7631578947368421
weighted_soft_voting,1,0.16093164935941287,0.13157894736842105
weighted_soft_voting,2,0.2638981599913568,0.23684210526315788
weighted_soft_voting,3,0.3417472368996333,0.4864864864864865
weighted_soft_voting,4,0.42043155128673015,0.47368421052631576
weighted_soft_voting,5,0.5136729057511948,0.8378378378378378
weighted_soft_voting,6,0.5880096404121902,0.5263157894736842
weighted_soft_voting,7,0.6683591601724467,0.7027027027027027
weighted_soft_voting,8,0.7449891840858186,0.7368421052631579
weighted_soft_voting,9,0.8155523293665197,0.7567567567567568
weighted_soft_voting,10,0.8892571155507291,0.8421052631578947
