threshold,accuracy,balanced_accuracy,precision,recall,f1,f2,roc_auc,pr_auc,brier_score,clinical_utility,true_negatives,false_positives,false_negatives,true_positives
0.25,0.6702127659574468,0.6172468582984255,0.6366366366366366,0.986046511627907,0.7737226277372263,0.8885163453478625,0.7422793586595406,0.7620672042414207,0.20194314109999173,915.0,40,121,3,212
0.24,0.6675531914893617,0.6141412682363138,0.6347305389221557,0.986046511627907,0.7723132969034608,0.8877721943048577,0.7422793586595406,0.7620672042414207,0.20194314109999173,914.0,39,122,3,212
0.26,0.675531914893617,0.6242380470894121,0.6413373860182371,0.9813953488372092,0.7757352941176471,0.8873002523128679,0.7422793586595406,0.7620672042414207,0.20194314109999173,905.0,43,118,4,211
0.22,0.6542553191489362,0.5978333092589918,0.624633431085044,0.9906976744186047,0.7661870503597122,0.8867610324729392,0.7422793586595406,0.7620672042414207,0.20194314109999173,921.0,33,128,2,213
0.23,0.6622340425531915,0.6079300881120902,0.6309523809523809,0.986046511627907,0.7695099818511797,0.8862876254180602,0.7422793586595406,0.7620672042414207,0.20194314109999173,912.0,37,124,3,212
0.32,0.7101063829787234,0.6685107612306803,0.673202614379085,0.958139534883721,0.7907869481765835,0.8833619210977701,0.7422793586595406,0.7620672042414207,0.20194314109999173,858.0,61,100,9,206
0.3,0.699468085106383,0.6553083923154701,0.6634615384615384,0.9627906976744186,0.7855787476280834,0.8831058020477816,0.7422793586595406,0.7620672042414207,0.20194314109999173,866.0,56,105,8,207
0.21,0.6409574468085106,0.5823053589484328,0.615606936416185,0.9906976744186047,0.7593582887700535,0.8830845771144279,0.7422793586595406,0.7620672042414207,0.20194314109999173,916.0,28,133,2,213
0.27,0.6781914893617021,0.6289036544850498,0.6450617283950617,0.9720930232558139,0.7755102040816326,0.8826013513513513,0.7422793586595406,0.7620672042414207,0.20194314109999173,882.0,46,115,6,209
0.29,0.6941489361702128,0.6490972121912466,0.6592356687898089,0.9627906976744186,0.782608695652174,0.8816013628620102,0.7422793586595406,0.7620672042414207,0.20194314109999173,864.0,54,107,8,207
0.28,0.6835106382978723,0.6358948432760364,0.65,0.9674418604651163,0.7775700934579439,0.8813559322033898,0.7422793586595406,0.7620672042414207,0.20194314109999173,872.0,49,112,7,208
0.31,0.7021276595744681,0.659193991044345,0.6666666666666666,0.958139534883721,0.7862595419847328,0.8810949529512404,0.7422793586595406,0.7620672042414207,0.20194314109999173,855.0,58,103,9,206
0.2,0.6303191489361702,0.5698829986999856,0.6085714285714285,0.9906976744186047,0.7539823008849558,0.8801652892561983,0.7422793586595406,0.7620672042414207,0.20194314109999173,912.0,24,137,2,213
0.19,0.625,0.563671818575762,0.6051136363636364,0.9906976744186047,0.7513227513227513,0.8787128712871287,0.7422793586595406,0.7620672042414207,0.20194314109999173,910.0,22,139,2,213
0.14,0.598404255319149,0.531055900621118,0.587431693989071,1.0,0.7401032702237521,0.8768352365415987,0.7422793586595406,0.7620672042414207,0.20194314109999173,924.0,10,151,0,215
0.13,0.5904255319148937,0.5217391304347826,0.5826558265582655,1.0,0.7363013698630136,0.8746948738812043,0.7422793586595406,0.7620672042414207,0.20194314109999173,921.0,7,154,0,215
0.18,0.6090425531914894,0.5450382782030911,0.5949720670391061,0.9906976744186047,0.743455497382199,0.874384236453202,0.7422793586595406,0.7620672042414207,0.20194314109999173,904.0,16,145,2,213
0.12,0.5877659574468085,0.5186335403726708,0.581081081081081,1.0,0.7350427350427351,0.8739837398373984,0.7422793586595406,0.7620672042414207,0.20194314109999173,920.0,6,155,0,215
