feature,importance_mean,importance_std
age,0.0871508717562928,0.015733789131276446
tumor_size,0.021141829686654134,0.015114991861521699
hr_positive_her2_negative,0.011713172440385899,0.005614836856384173
lymph_nodes_positive,0.011217635462724113,0.005367419826377955
npi,0.01016625357452613,0.005850843268305782
integrative_cluster,0.009543894836528944,0.005784263345344003
nottingham_grade_burden,0.009118201972474881,0.005424629067107717
advanced_stage_flag,0.0069313337776316705,0.00225560570620324
radio_therapy,0.005450017687881115,0.002202556955939561
pam50_risk_group,0.004665690661001154,0.002730365749098264
node_stage_burden,0.003816028696358653,0.0026447211705112167
pam50_subtype,0.00364648620516026,0.003901453105915781
tumor_grade_burden,0.002986691967487687,0.002701630989169391
hormone_therapy,0.0013202756996638753,0.001958439630589006
tumor_stage_burden,0.0012940682376698376,0.005499921314218958
pr_status,0.0009059423493339936,0.005193758994544577
large_tumor_flag,0.0008451392361483901,0.002879871679079792
chemotherapy_flag,0.0004488265080947462,0.0018976608144381324
cohort,0.0003930673694119313,0.006172162764703517
high_node_burden_flag,0.00030855018509416964,0.0014631576092180268
her2_status_measured_by_snp6,0.00027801577898780016,0.002584663936791398
oncotree_code,0.00013866302239505247,0.0017803331089562885
cancer_type_detailed,0.00013866302239505247,0.0017803331089562885
cancer_type,0.0,0.0
sex,0.0,0.0
chemotherapy,-9.207056215847498e-05,0.001308442902014394
triple_negative_like,-0.00013012962454744259,0.002809951474917607
er_status_measured_by_ihc,-0.00019027730037627367,0.0012786941997544
cellularity,-0.00026112143070249896,0.001662696582689425
age_band,-0.0004575811667324681,0.0074628190678749495
hormone_therapy_flag,-0.0005303086109038236,0.006561771243891117
mutation_count,-0.0007185187219069189,0.001905828456773057
mutation_density,-0.0008918640165190561,0.0027419919968439143
primary_tumor_laterality,-0.001559190249678538,0.002743084783256812
inferred_menopausal_state,-0.0015642429306841176,0.0009732002808777256
tumor_size_band,-0.001592527679187905,0.0037274661962383754
receptor_profile,-0.0016868983225073798,0.005619654678553393
node_positive_log1p,-0.00220377260506503,0.0014403539712053081
type_of_breast_surgery,-0.0023491081577793503,0.0024808592918165603
tumor_other_histologic_subtype,-0.002490810271420335,0.0019100031237555607
er_status,-0.002624336022860235,0.0071200497668256115
stage,-0.0034977898413059705,0.001248677935995483
her2_status,-0.003818442980858855,0.0019187337181003359
radio_therapy_flag,-0.005694627030431598,0.0031204330524317284
grade,-0.005795719360784967,0.005154016679147117
treatment_count,-0.00659496488229846,0.00311794457949049
three_gene_subtype,-0.008138832616427122,0.008455503484414456
