column,pearson_corr_with_deceased,living_median,deceased_median,leakage_note
relapse_free_status_months,-0.4122127837162176,141.28,62.7,
survival_months,-0.38958549183980024,157.1,84.9,follow_up_risk
mutation_count,0.07772051438603729,5.0,5.0,
grade,0.08573516007528953,2.0,3.0,
cohort,0.14876944406978432,2.0,3.0,
lymph_nodes_positive,0.16267472091829924,0.0,1.0,
npi,0.1686503261564235,4.0360000000000005,4.06,
tumor_size,0.16932917855764584,20.0,25.0,
stage,0.18214183078397597,2.0,2.0,
age,0.29819988189811225,56.74,66.23,
