sleep_quality_bin,stress_bin,work_hours_bin,duration_bin,count,mean,majority_rate,minority_rate
"(4.0, 4.5]","(5.8, 6.2]","(9.7, 11.1]","(5.53, 5.96]",58,0.5,0.5,0.5
"(5.7, 6.2]","(3.7, 4.5]","(6.1, 7.4]","(6.78, 7.27]",59,0.4915254237288136,0.5084745762711864,0.4915254237288136
"(5.7, 6.2]","(3.7, 4.5]","(4.7, 6.1]","(6.36, 6.78]",51,0.5098039215686274,0.5098039215686274,0.4901960784313726
"(5.7, 6.2]","(3.7, 4.5]","(6.1, 7.4]","(6.36, 6.78]",61,0.5245901639344263,0.5245901639344263,0.47540983606557374
"(6.2, 6.8]","(3.7, 4.5]","(7.4, 8.5]","(6.78, 7.27]",55,0.4727272727272727,0.5272727272727273,0.47272727272727266
"(6.2, 6.8]","(4.5, 5.0]","(6.1, 7.4]","(6.78, 7.27]",56,0.5357142857142857,0.5357142857142857,0.4642857142857143
"(5.7, 6.2]","(5.0, 5.4]","(6.1, 7.4]","(6.36, 6.78]",52,0.46153846153846156,0.5384615384615384,0.46153846153846156
"(6.2, 6.8]","(3.7, 4.5]","(4.7, 6.1]","(6.36, 6.78]",50,0.54,0.54,0.45999999999999996
"(5.7, 6.2]","(3.7, 4.5]","(8.5, 9.7]","(6.36, 6.78]",50,0.54,0.54,0.45999999999999996
"(5.3, 5.7]","(3.7, 4.5]","(7.4, 8.5]","(6.36, 6.78]",51,0.45098039215686275,0.5490196078431373,0.4509803921568627
"(6.2, 6.8]","(3.7, 4.5]","(6.1, 7.4]","(6.36, 6.78]",51,0.5490196078431373,0.5490196078431373,0.4509803921568627
"(4.9, 5.3]","(0.999, 3.7]","(-0.001, 2.8]","(7.92, 10.5]",114,0.5526315789473685,0.5526315789473685,0.4473684210526315
"(5.3, 5.7]","(4.5, 5.0]","(4.7, 6.1]","(6.78, 7.27]",50,0.56,0.56,0.43999999999999995
"(5.3, 5.7]","(0.999, 3.7]","(-0.001, 2.8]","(6.36, 6.78]",50,0.56,0.56,0.43999999999999995
"(5.7, 6.2]","(4.5, 5.0]","(8.5, 9.7]","(6.36, 6.78]",51,0.43137254901960786,0.5686274509803921,0.43137254901960786
"(5.7, 6.2]","(5.4, 5.8]","(6.1, 7.4]","(6.78, 7.27]",58,0.5689655172413793,0.5689655172413793,0.43103448275862066
"(5.7, 6.2]","(0.999, 3.7]","(-0.001, 2.8]","(6.36, 6.78]",63,0.5714285714285714,0.5714285714285714,0.4285714285714286
"(5.7, 6.2]","(3.7, 4.5]","(2.8, 4.7]","(7.27, 7.92]",83,0.5783132530120482,0.5783132530120482,0.42168674698795183
"(5.7, 6.2]","(3.7, 4.5]","(2.8, 4.7]","(6.78, 7.27]",57,0.5789473684210527,0.5789473684210527,0.42105263157894735
"(6.2, 6.8]","(4.5, 5.0]","(2.8, 4.7]","(7.27, 7.92]",69,0.5797101449275363,0.5797101449275363,0.42028985507246375
"(6.2, 6.8]","(3.7, 4.5]","(2.8, 4.7]","(6.78, 7.27]",74,0.581081081081081,0.581081081081081,0.41891891891891897
"(4.5, 4.9]","(0.999, 3.7]","(-0.001, 2.8]","(7.92, 10.5]",55,0.5818181818181818,0.5818181818181818,0.4181818181818182
"(5.7, 6.2]","(4.5, 5.0]","(6.1, 7.4]","(7.27, 7.92]",60,0.5833333333333334,0.5833333333333334,0.41666666666666663
"(5.7, 6.2]","(4.5, 5.0]","(2.8, 4.7]","(6.78, 7.27]",57,0.5964912280701754,0.5964912280701754,0.4035087719298246
"(5.7, 6.2]","(5.0, 5.4]","(4.7, 6.1]","(6.78, 7.27]",60,0.6,0.6,0.4
"(6.2, 6.8]","(0.999, 3.7]","(2.8, 4.7]","(6.78, 7.27]",60,0.6,0.6,0.4
"(6.2, 6.8]","(5.0, 5.4]","(2.8, 4.7]","(7.27, 7.92]",50,0.6,0.6,0.4
"(4.0, 4.5]","(6.2, 6.6]","(8.5, 9.7]","(5.53, 5.96]",55,0.4,0.6,0.4
"(5.7, 6.2]","(4.5, 5.0]","(4.7, 6.1]","(6.78, 7.27]",58,0.603448275862069,0.603448275862069,0.39655172413793105
"(5.7, 6.2]","(5.0, 5.4]","(2.8, 4.7]","(6.78, 7.27]",53,0.6037735849056604,0.6037735849056604,0.39622641509433965
"(5.7, 6.2]","(3.7, 4.5]","(6.1, 7.4]","(7.92, 10.5]",53,0.6037735849056604,0.6037735849056604,0.39622641509433965
"(5.7, 6.2]","(4.5, 5.0]","(4.7, 6.1]","(7.27, 7.92]",71,0.6056338028169014,0.6056338028169014,0.3943661971830986
"(5.3, 5.7]","(3.7, 4.5]","(-0.001, 2.8]","(7.92, 10.5]",89,0.6067415730337079,0.6067415730337079,0.3932584269662921
"(5.7, 6.2]","(3.7, 4.5]","(-0.001, 2.8]","(6.78, 7.27]",57,0.6140350877192983,0.6140350877192983,0.38596491228070173
"(5.7, 6.2]","(3.7, 4.5]","(6.1, 7.4]","(7.27, 7.92]",65,0.6153846153846154,0.6153846153846154,0.3846153846153846
"(3.5, 4.0]","(6.6, 7.1]","(9.7, 11.1]","(5.53, 5.96]",50,0.38,0.62,0.38
"(3.5, 4.0]","(5.8, 6.2]","(9.7, 11.1]","(5.53, 5.96]",50,0.38,0.62,0.38
"(5.7, 6.2]","(3.7, 4.5]","(7.4, 8.5]","(7.27, 7.92]",50,0.62,0.62,0.38
"(4.0, 4.5]","(5.8, 6.2]","(7.4, 8.5]","(5.53, 5.96]",58,0.3793103448275862,0.6206896551724138,0.3793103448275862
"(5.7, 6.2]","(3.7, 4.5]","(4.7, 6.1]","(7.92, 10.5]",69,0.6231884057971014,0.6231884057971014,0.37681159420289856
"(5.3, 5.7]","(0.999, 3.7]","(-0.001, 2.8]","(7.92, 10.5]",192,0.625,0.625,0.375
"(6.2, 6.8]","(4.5, 5.0]","(7.4, 8.5]","(6.78, 7.27]",51,0.6274509803921569,0.6274509803921569,0.37254901960784315
"(5.7, 6.2]","(5.0, 5.4]","(6.1, 7.4]","(6.78, 7.27]",57,0.631578947368421,0.631578947368421,0.368421052631579
"(6.2, 6.8]","(3.7, 4.5]","(-0.001, 2.8]","(7.27, 7.92]",114,0.631578947368421,0.631578947368421,0.368421052631579
"(6.2, 6.8]","(3.7, 4.5]","(-0.001, 2.8]","(6.78, 7.27]",71,0.6338028169014085,0.6338028169014085,0.3661971830985915
