feature,importance_mean_auc_drop,importance_std
sleep_duration_hrs,0.11649616448659217,0.004758272561960304
sleep_quality_score,0.041990989188492624,0.0031308238839661915
wake_episodes_per_night,0.021136124848239724,0.003048406221659901
stress_score,0.017208795859342475,0.0022380504033552057
day_type,0.0016672934358929804,0.00043809271594128066
mental_health_condition,0.0006561697661189303,0.0003761182335858669
rem_percentage,0.0006468467921112442,0.0005967233586656544
weekend_sleep_diff_hrs,0.0005676015130452905,0.0002001839235945341
sleep_latency_mins,0.00041450570953591723,0.000540821515629351
heart_rate_resting_bpm,0.00030881041994228474,0.00015253756003712508
screen_time_before_bed_mins,0.00021683771006801854,0.00013231169705481426
bmi,0.00013748767848513753,0.00043080684074466653
gender,0.00012329371243966492,3.7264300010198746e-05
country,9.789122708139252e-05,0.00012943628517864944
steps_that_day,8.107844811238163e-05,0.0001677467407530455
exercise_day,7.28553755325212e-05,2.6965584900953497e-05
season,6.196111377068103e-05,3.850086097753541e-05
sleep_aid_used,1.4717728630175841e-05,5.204587454382062e-05
deep_sleep_percentage,2.618812923405045e-06,0.00017359494377360333
caffeine_mg_before_bed,-1.3670203460902641e-05,0.00010569425140697573
nap_duration_mins,-3.577298453540934e-05,5.087743585619879e-05
chronotype,-3.739664854804925e-05,3.848332893553442e-05
alcohol_units_before_bed,-6.075645982588363e-05,0.00015722677574762242
shift_work,-6.59417094144521e-05,2.879570287813044e-05
room_temperature_celsius,-0.00012201049410722752,7.571936074809948e-05
work_hours_that_day,-0.00012366034624899935,0.00024136906426990424
age,-0.00012460311890152286,0.00012104904617299713
occupation,-0.00016556135302545628,0.0001546375126102495
